step,base_pos_x,base_pos_y,base_pos_z,base_roll,base_pitch,base_yaw,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,cmd_lin_vel_x,cmd_lin_vel_y,cmd_ang_vel_z,actual_lin_vel_x,actual_lin_vel_y,actual_ang_vel_z,lin_vel_error,ang_vel_error
54,0.33618063,0.3807176,0.5156955,6.203679,6.2785273,0.6463403,0.38178012,0.33827,0.037947625,0.38938957,0.07693559,0.08844596,0.7427832,0.42047668,0.24627018,0.7125876,0.3375697,0.6248867,0.08823456,0.3786165
55,0.34234118,0.39344478,0.5107793,6.178016,0.019047901,0.65281725,0.37941784,0.34677988,0.029224664,0.39109218,0.09526303,0.0813237,0.7427832,0.42047668,0.24303174,0.66837835,0.44546455,-0.4122549,0.078488685,0.65528667
56,0.34940785,0.40791714,0.51249766,6.164633,0.011303572,0.6478676,0.37433383,0.34286836,0.03272271,0.3964741,0.12203185,0.077401474,0.7427832,0.42047668,0.24550653,0.6996235,0.38315368,-0.71419823,0.05705929,0.95970476
57,0.35814846,0.42291254,0.5149873,6.158305,6.2634177,0.644154,0.36915305,0.33573958,0.04004065,0.40138787,0.14769778,0.07663564,0.7427832,0.42047668,0.24736333,0.71107554,0.36111802,0.066357374,0.06729654,0.18100595
58,0.36433318,0.43947676,0.51777,6.1745915,6.242888,0.6446411,0.36500448,0.33011553,0.056980275,0.4096018,0.16241339,0.081755064,0.7427832,0.42047668,0.24711978,0.70594335,0.46836144,0.36420417,0.06041626,0.117084384
59,0.3683001,0.45652464,0.5204221,6.19118,6.2444024,0.6583383,0.37486282,0.35000294,0.06479772,0.41883424,0.16477473,0.093465105,0.7427832,0.42047668,0.24027121,0.641834,0.4824345,0.69347435,0.11844622,0.45320314
60,0.36986396,0.47137123,0.5200266,6.20276,6.2789464,0.6645065,0.40637457,0.39262852,0.057245597,0.42481673,0.16570218,0.10081375,0.7427832,0.42047668,0.23718715,0.65628815,0.51285195,0.1968434,0.12654874,0.040343747
61,0.37217835,0.48731047,0.51788795,6.2108,0.028226515,0.66754436,0.4241707,0.42185396,0.052682787,0.42122325,0.16772431,0.104884125,0.7427832,0.42047668,0.23566818,0.679308,0.4788,0.043561,0.08620156,0.19210719
62,0.37747443,0.5014288,0.5136571,6.1933365,0.050713394,0.6760896,0.4265994,0.45240572,0.038045198,0.41036218,0.17720346,0.1028036,0.7427832,0.42047668,0.2313956,0.72664607,0.37326053,0.44784173,0.049897607,0.21644613
63,0.38368765,0.5150449,0.5094109,6.1661286,0.06490376,0.67565095,0.42039818,0.46523097,0.027102947,0.40556708,0.19679473,0.09621877,0.7427832,0.42047668,0.23161495,0.6776273,0.47681043,-0.6902079,0.08613233,0.92182285
64,0.38964155,0.5312319,0.5130255,6.1627345,0.05184232,0.6802445,0.41504312,0.46335876,0.033518642,0.40359738,0.22832447,0.09184224,0.7427832,0.42047668,0.22931814,0.7070496,0.4357878,0.24640614,0.038875688,0.017087996
65,0.3964203,0.5485629,0.5157518,6.16894,0.01832609,0.6807895,0.40596527,0.45514464,0.04562623,0.40841356,0.25766847,0.08988688,0.7427832,0.42047668,0.22904563,0.6806256,0.50102323,-0.4395456,0.101741396,0.66859126
66,0.40085888,0.5662846,0.51929617,6.190936,6.2779064,0.67855525,0.39822903,0.4585353,0.061703354,0.41926548,0.27850088,0.09238093,0.7427832,0.42047668,0.23016274,0.64558953,0.47200716,-0.305481,0.11000908,0.5356437
67,0.4033527,0.5828931,0.5195348,6.21089,6.277217,0.68473786,0.39968947,0.48375946,0.06659501,0.42946106,0.29345408,0.09186619,0.7427832,0.42047668,0.2270714,0.656752,0.53778136,0.57158905,0.14547081,0.34451765
68,0.4050915,0.60015213,0.51917845,6.2257543,0.0077733668,0.6904836,0.42586255,0.5335694,0.054356657,0.44219187,0.29744375,0.1000913,0.7427832,0.42047668,0.22419858,0.66046435,0.55270016,0.5002049,0.15575443,0.27600634
69,0.4068979,0.6180401,0.51739043,6.2369084,0.027987422,0.69200575,0.44084248,0.5643782,0.049696192,0.44549018,0.30351415,0.10349035,0.7427832,0.42047668,0.22343743,0.6920021,0.5381841,-0.03710309,0.12819421,0.26054052
70,0.41120264,0.6339313,0.5136242,6.2210536,0.046304863,0.6979671,0.44277602,0.5946253,0.035377786,0.44086006,0.3177786,0.09935834,0.7427832,0.42047668,0.22045684,0.7306914,0.44510078,0.35037357,0.027432805,0.12991673
71,0.41613272,0.6495014,0.51013523,6.198629,0.058795664,0.70214653,0.43869844,0.6067124,0.026809469,0.4386255,0.33905083,0.092951715,0.7427832,0.42047668,0.2183671,0.70986265,0.53248966,-0.07902197,0.11675046,0.29738906
72,0.42268768,0.66563797,0.51155496,6.178161,0.047962505,0.70838565,0.43610895,0.60603756,0.028546587,0.43625912,0.36841756,0.0895483,0.7427832,0.42047668,0.21524751,0.7351113,0.43688926,0.25655895,0.018117145,0.041311443
73,0.42958236,0.68347156,0.5145761,6.1754127,0.017669212,0.7188471,0.43087688,0.60093504,0.03777527,0.43937927,0.40018067,0.087537035,0.7427832,0.42047668,0.21001685,0.75376314,0.47766948,-0.09868759,0.05823724,0.30870444
74,0.43384045,0.70359004,0.5226191,6.2089305,6.2697043,0.7307557,0.4185267,0.6016303,0.060733445,0.45054287,0.42824337,0.09110687,0.7427832,0.42047668,0.20406258,0.7273037,0.48809522,0.65025306,0.06936774,0.44619048
75,0.4356055,0.72253,0.52768683,6.2458615,6.2624006,0.74369735,0.41483995,0.62183064,0.07531202,0.46600014,0.45045623,0.09228151,0.7427832,0.42047668,0.19759166,0.6580671,0.5069466,0.5700219,0.12105316,0.37243026
76,0.43627852,0.7405659,0.53150725,6.273776,6.277514,0.76011276,0.43493265,0.6679596,0.07095038,0.47661778,0.4690643,0.09272839,0.7427832,0.42047668,0.18938398,0.6950244,0.52279115,1.1364597,0.11291216,0.9470757
77,0.43710867,0.7580553,0.5326945,0.011355485,0.016022502,0.7759857,0.45571145,0.7305856,0.0589215,0.48662686,0.4817655,0.09461476,0.7427832,0.42047668,0.1814475,0.73688406,0.53453225,0.5898187,0.11420803,0.4083712
78,0.4405757,0.77642524,0.53229684,0.016552737,0.02165408,0.78918844,0.45271742,0.7735699,0.04986857,0.49074686,0.50176615,0.089969575,0.7427832,0.42047668,0.17484605,0.7906799,0.43373987,0.08153303,0.049699143,0.09331302
79,0.44590273,0.7935154,0.5299552,0.0016915891,0.022092592,0.79589856,0.4422128,0.8043045,0.040349454,0.4959887,0.52884525,0.080920376,0.7427832,0.42047668,0.17149103,0.79900706,0.4300375,-0.093934804,0.05703098,0.26542583
80,0.45213804,0.8104618,0.5276603,6.2649455,0.012908387,0.7983901,0.433207,0.81551373,0.035146922,0.507486,0.5611264,0.07179234,0.7427832,0.42047668,0.17024529,0.77071035,0.4281382,-0.027045768,0.028959027,0.19729106
81,0.45924073,0.8279605,0.52910715,6.2561283,6.265398,0.7921337,0.425501,0.808807,0.03807792,0.52667046,0.60010755,0.06482412,0.7427832,0.42047668,0.17337358,0.74738747,0.3692024,-1.0785328,0.05148058,1.2519064
82,0.46705806,0.8457422,0.5308306,6.2611904,6.2195654,0.7816715,0.41460735,0.8045003,0.04504484,0.5484719,0.6313693,0.06349696,0.7427832,0.42047668,0.1786046,0.7642735,0.3473356,-0.1621101,0.07623287,0.3407147
83,0.47237414,0.86473095,0.53638524,6.269265,6.196048,0.79337126,0.42113575,0.80773115,0.058495164,0.55545616,0.64741087,0.07232975,0.7427832,0.42047668,0.17275476,0.7720904,0.50619155,0.65924776,0.09058671,0.486493
84,0.47315,0.8835511,0.5416388,0.0003523089,6.207553,0.82194155,0.44846126,0.8343492,0.06510459,0.56437606,0.65790427,0.08153954,0.7427832,0.42047668,0.15846956,0.7309502,0.54603404,1.4770328,0.12611373,1.3185632
85,0.4726696,0.90047216,0.54332775,0.009884889,6.239871,0.8533486,0.48366365,0.88737744,0.062383354,0.575449,0.6636338,0.089480154,0.7427832,0.42047668,0.142766,0.7302386,0.5055735,1.9343355,0.0860165,1.7915695
86,0.4736557,0.9182123,0.5425378,0.014524138,6.2612505,0.87568206,0.49867824,0.9242911,0.06159553,0.58333284,0.67019975,0.092435695,0.7427832,0.42047668,0.1315993,0.7934941,0.4782024,0.69301033,0.076836556,0.561411
87,0.47799915,0.9354341,0.5393478,6.2785683,6.2686086,0.8902364,0.49313882,0.9599153,0.051263228,0.58639216,0.6848979,0.08904193,0.7427832,0.42047668,0.124322176,0.8310767,0.36018318,0.5293494,0.10691607,0.4050272
88,0.48340046,0.9516309,0.5348953,6.2466345,6.2741857,0.8936562,0.48790756,0.97505754,0.041961476,0.59419364,0.7083686,0.08248052,0.7427832,0.42047668,0.12261224,0.8157112,0.3887062,-0.103163764,0.07954783,0.225776
89,0.48989737,0.9682603,0.53058976,6.213579,6.265628,0.8885613,0.4803869,0.9770605,0.034044594,0.606504,0.7386826,0.07477072,0.7427832,0.42047668,0.12515974,0.79323465,0.38106838,-0.5286261,0.06401846,0.6537858
90,0.49609685,0.9857644,0.53215605,6.205735,6.2363925,0.87848586,0.47666928,0.966846,0.036364228,0.62276417,0.7735005,0.071510606,0.7427832,0.42047668,0.1301974,0.7782107,0.33415636,-1.1212884,0.093307585,1.2514858
